MAV,RMS,WL,ZCR,bp_d,bp_t,bp_a,bp_b,bp_30_80,bp_hi,specEnt,kurt,Signal,Start,End,Cluster
0.173344921875,0.219916150746995,23.3192,0.1953125,0.0202405927818546,0.0177164140161722,0.0140238822982897,0.0105091092454527,0.00158819173504964,0.00070119992411131,0.643387151806598,3.42827470190944,x2,1281,1792,1
0.248748828125,0.356350792101337,32.7457,0.16796875,0.0396395605617952,0.020775404677852,0.0371229586827526,0.0390005037453411,0.00188527493069972,0.000746323376050754,0.598785937881115,6.79343584914149,x2,1537,2048,1
0.230176953125,0.345946056014337,35.4925,0.1875,0.0291104720303625,0.016297874503955,0.0458960919506147,0.0441497099841294,0.00189173305059916,0.000818869602477313,0.592245233645695,7.55928813330041,x2,1793,2304,1
0.2799478515625,0.443067914848242,37.6848,0.1796875,0.00831345067164333,0.0439457862013848,0.0196367893711847,0.0100971296866005,0.00411441763883656,0.00257506675606709,0.636629833083926,7.23092902184035,x2,2049,2560,1
0.5548552734375,0.721604300123711,65.8895,0.140625,0.135973326014639,0.277833009390235,0.0466844774723218,0.0466157322729906,0.00628386770243809,0.00400611933061634,0.580540773529646,3.2992553756982,x2,2305,2816,1
0.4891396484375,0.647768951970314,62.4325,0.16796875,0.194123908773864,0.110094919335729,0.111097894790707,0.0784905981970986,0.00560581217981267,0.00214074881248701,0.576404239554886,3.839391496124,x2,2561,3072,1
0.3741451171875,0.518887850038878,45.2304,0.15234375,0.0597180073126805,0.0285905149785654,0.00573833438236152,0.00474614114944661,0.00388723196919481,0.00133324088845618,0.525390594032934,4.5967928618144,x2,2817,3328,1
0.3513609375,0.538116526174571,36.2413,0.1171875,0.176949099699403,0.202176890122564,0.0126607171939625,0.00592581050094964,0.00306419037966688,0.00151958868020332,0.443281364262766,6.24088576436219,x2,3073,3584,1
0.22323515625,0.359341171777428,24.5431,0.1328125,0.0221598337072708,0.00433270993694802,0.00375251815953067,0.00239650743477175,0.00108616308482784,0.000525645664448003,0.529297858002718,14.1775671271818,x2,3329,3840,1
0.1649642578125,0.208475723116401,25.7366,0.22265625,0.0352072198648249,0.0081447397169454,0.00323970630427258,0.00239059271694142,0.00216022726409711,0.000741420553968656,0.487830444824881,2.80290883723856,x2,3585,4096,1
0.2972302734375,0.513890931836921,64.986,0.3359375,0.00786222384833449,0.00311645600966013,0.0557751469044968,0.0445376971021922,0.00637826979447548,0.00224090000090842,0.549403439936848,8.42568184238438,x2,3841,4352,1
0.758933398437499,1.01608056074209,153.5506,0.28515625,0.00125247218422999,0.00211074489365187,0.640981339602773,0.417227820507061,0.0300302328423041,0.00827238204596131,0.34979954840951,2.78594235191821,x2,4097,4608,1
0.6372625,0.908538574657469,138.8068,0.359375,0.00158613545548059,0.00136467333668155,0.507527574182081,0.327534284244659,0.0240499508562243,0.00658995810787574,0.345378952737981,3.5259106545303,x2,4353,4864,1
0.1588751953125,0.221169304007487,64.7781,0.5703125,0.00168869366497642,0.000727783946992073,0.00472664379399708,0.00555177786681004,0.0141835321738985,0.00395427155281967,0.667480002397846,6.30863489741476,x2,4609,5120,1
0.1315345703125,0.167181714093808,62.5166,0.59765625,0.00439012714978734,0.00157862622746132,0.00281104816782237,0.00283126239459429,0.0154294289998324,0.00406051263921967,0.63662855913642,3.19443561548244,x2,4865,5376,1
0.135220703125,0.167949161067047,65.0942,0.60546875,0.00426688897193211,0.00122244851590803,0.0012760417384638,0.00133292803729574,0.0166693353422919,0.00369836889822888,0.571042915514359,2.85060651874055,x2,5121,5632,1
0.132917578125,0.165695058296106,65.8596,0.625,0.000962750267805532,0.000942450072239111,0.00180795853154144,0.00337759505728206,0.0160185073641624,0.00365509056748977,0.609766934701727,3.03562352230089,x2,5377,5888,1
0.1490783203125,0.191217992777141,61.1742,0.515625,0.00239136351076399,0.00255627984528681,0.00715856352213831,0.0119743616733155,0.014057694234767,0.00344956027133457,0.698994559868775,3.36714017998152,x2,5633,6144,1
0.30804921875,0.453314907790379,68.9159,0.3203125,0.0059907607776279,0.00238238840774925,0.137507445418785,0.105964588676398,0.0061063986650239,0.00192468841001927,0.445387771552067,4.78793584098902,x2,5889,6400,1
0.282698828125,0.441510809828381,54.012,0.234375,0.00276315378459131,0.00305101131600738,0.0944737058499245,0.070127931135869,0.00231320261837716,0.00104782945786798,0.40834404233185,5.26533290920374,x2,6145,6656,1
0.1956759765625,0.288988059367565,29.6996,0.16796875,0.0141936143859676,0.0126435339762171,0.0134569233355859,0.011508003382253,0.00201403393331038,0.00104698263647531,0.683121009348916,11.4206600847981,x2,6401,6912,1
0.2946951171875,0.404637831532139,44.67,0.15234375,0.0261254000960634,0.0397310152702993,0.0447605797497518,0.0538523099502754,0.00682789877494023,0.00255677130691954,0.686111141187473,5.41902624697222,x2,6657,7168,1
0.2191392578125,0.320590995120486,33.4417,0.14453125,0.0274208823317618,0.0223158146038878,0.0223857531349382,0.0181296414114974,0.00345350715058645,0.00118598817363256,0.642311896146558,6.39441861601347,x2,6913,7424,1
0.1815888671875,0.232434766176112,21.2119,0.109375,0.0230120147682809,0.0217580530228661,0.00542998026481919,0.00682462586714013,0.00152021086136919,0.000824479705113207,0.587908277031576,3.60661184887518,x2,7169,7680,1
0.2060794921875,0.272416970256249,28.1502,0.15625,0.0230795726389501,0.0362216255446211,0.0113762386850541,0.00425565568757535,0.00151086089781438,0.000849313167258713,0.576843687514609,4.58990444382809,x2,7425,7936,1
0.1728306640625,0.234967979575476,37.0368,0.29296875,0.00457585053002589,0.00595100615019933,0.0057164820989109,0.00827525190456883,0.00315256922261905,0.00150136375841467,0.725705032078645,6.11248670574761,x2,7681,8192,1
0.2620259765625,0.361852897128317,48.7421,0.328125,0.0571794504885027,0.0333669821653302,0.0168646307092267,0.0296554429356005,0.0107621319398113,0.00338227476790614,0.655047115211546,5.46030291521518,x2,7937,8448,1
0.5203970703125,0.697847806890608,108.9133,0.26953125,0.112890907862899,0.0543279755745308,0.152658726438769,0.176167804137829,0.032702235099408,0.0160826270737806,0.697634899502703,4.3674493404395,x2,8193,8704,1
1.3813001953125,1.83421570200041,270.3462,0.2421875,0.124313993758388,0.0614148144382762,1.65419448770293,1.05112054078663,0.0725949051280866,0.0229129930283399,0.422485163475699,3.13978320883425,x2,8449,8960,1
2.230546875,2.60017507944928,407.9983,0.19921875,0.076383255564606,0.0200633429325271,4.23773301578162,2.50352989519702,0.0955961177776462,0.0175273152322474,0.312641575528856,1.85361744526395,x2,8705,9216,1
1.6858646484375,2.16825304004042,339.9644,0.28515625,0.00173438848902823,0.00151682503147355,2.56212754018252,1.63423718871028,0.116156742011357,0.0174951501421357,0.352097240083863,2.5926130761578,x2,8961,9472,1
